created,text,retwc,hashtag,followers,friends
10/28/2019 18:00,b'RT @V__A__Y__U: #HaryanaAssemblyPolls\nDamn @BJP4India environmental plan to arrest hundreds of Hindus on Diwali on halt now.\nPlease arrest\xe2\x80\xa6',1,HaryanaAssemblyPolls,1016,569
10/28/2019 17:40,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,424,4994
10/28/2019 17:37,b'RT @yessirtns: Great to see that BJP &amp; JJP have joined hands to form the GOVT in Haryana...\n\nThe CHIEF MINISTER will be :\n\nDUSHYANT KHATTAR\xe2\x80\xa6',33,None,71,154
10/28/2019 17:16,"b'In a reaction to the allegations of Delhi Congress leaders regarding furlough to #AjayChautala, #AAP leader\xe2\x80\xa6 https://t.co/quWrUSJUuw'",0,AjayChautala,211,279
10/28/2019 16:50,b'RT @stupedousam: @ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in #MaharashtraAssemblyPolls &amp; #Ha\xe2\x80\xa6',2,MaharashtraAssemblyPolls,82,272
10/28/2019 16:48,b'RT @stupedousam: @ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in #MaharashtraAssemblyPolls &amp; #Ha\xe2\x80\xa6',2,MaharashtraAssemblyPolls,3666,2383
10/28/2019 16:36,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,189,399
10/28/2019 16:36,b'@ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in\xe2\x80\xa6 https://t.co/4ws8Kzc40o',2,None,19,512
10/28/2019 16:01,"b'RT @sairashahhalim: We need to celebrate democracy,as now we have @BJP4India\nIn every state hook or crook,criminals et all.\n\n#HaryanaAssemb\xe2\x80\xa6'",11,None,50014,39974
10/28/2019 15:29,b'RT @omrajguru: Amit Shah to #ShivSena\n&amp; JJP \n\xf0\x9f\xa4\xa3 #HaryanaAssemblyPolls\n#ElectionResults2019 https://t.co/xEt5HEVLmy',2,ShivSena,95,676
10/28/2019 15:27,b'RT @MoralMentions: After seeing #HaryanaAssemblyPolls election results \n\n#MaharashtraAssemblyPolls #MaharashtraAssemblyPolls2019 #OnePlusDi\xe2\x80\xa6',3,HaryanaAssemblyPolls,95,676
10/28/2019 15:27,b'RT @bkrs100: Chautala betrays the mandate of the people.\n\nI hope people of this country are watching the double standards of this young lea\xe2\x80\xa6',15,None,133,285
10/28/2019 15:22,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,14228,778
10/28/2019 15:18,b'RT @GaubaKaran: @PMOIndia @BJP4India @AmitShahOffice Hindi belt showing signs of slippage. Middle class #CheatedHomeBuyers hv been ur arden\xe2\x80\xa6',25,CheatedHomeBuyers,74,8
10/28/2019 15:18,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,2301,1947
10/28/2019 15:13,"b""RT @latestly: 'BJP Failing Women of India by Taking Gopal Kanda's Support in Haryana': Sushmita Dev Writes Letter to Amit Shah | Read full\xe2\x80\xa6""",20,None,133,285
10/28/2019 15:08,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,42418,45787
10/28/2019 15:06,"b""RT @latestly: 'BJP Failing Women of India by Taking Gopal Kanda's Support in Haryana': Sushmita Dev Writes Letter to Amit Shah | Read full\xe2\x80\xa6""",20,None,2430,89
10/28/2019 15:01,b'Sure \nSS cannt be accepting Dpt. CM  as now one from house is in suffering punishable offences in any of the jails\xe2\x80\xa6 https://t.co/FII2JoAHUs',0,None,51,168
10/28/2019 14:57,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,201,386
10/28/2019 14:57,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,187,483
10/28/2019 14:53,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,19,20
10/28/2019 14:51,b'@VPSecretariat Janta to vishwash jatati hi hai\nWo to neta sab hai jo peeth piche chaku marte hai\nRecent example\xe2\x80\xa6 https://t.co/gnHvN8XL69',0,None,25,116
10/28/2019 14:50,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,52,80
10/28/2019 14:45,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,385,499
10/28/2019 14:41,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,2525,500
10/28/2019 14:40,b'#PopulationControllaw\n#Civilcodeofconduct\n#MaharashtraAssemblyPolls \n#Maharashtra\n#HaryanaAssemblyPolls \n#Haryana\xe2\x80\xa6 https://t.co/Q6fcaH5Tle',0,PopulationControllaw,108541,59153
10/28/2019 14:21,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,8431,114
10/28/2019 14:14,b'RT @Mohazamil: Congress Leader @JAslamBasha \nStatement On\n#HaryanaAssemblyPolls https://t.co/h4q4COQ62I',16,HaryanaAssemblyPolls,288,142
10/28/2019 14:05,b'RT @NgDagreat2: Enjoy this beautiful song below.\nStay blessed xx\xf0\x9f\xa5\xb0\nhttps://t.co/50U3bomOZN\n\n#justiceforjemima \n#MercyXDencia \n#RipHHP \n#Just\xe2\x80\xa6',1,justiceforjemima,44,47
10/28/2019 14:04,b'RT @NgDAGREAT3: Enjoy this beautiful song below.\nStay blessed xx\xf0\x9f\xa5\xb0\nhttps://t.co/cOK4rYIbiV\n\n#justiceforjemima \n#MercyXDencia \n#RipHHP \n#Just\xe2\x80\xa6',1,justiceforjemima,19,19
10/28/2019 13:50,b'RT @Mohazamil: Congress Leader @JAslamBasha \nStatement On\n#HaryanaAssemblyPolls https://t.co/h4q4COQ62I',16,HaryanaAssemblyPolls,56,93
10/28/2019 13:48,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,2734,4591
10/28/2019 13:46,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,833,2309
10/28/2019 13:06,b'RT @scroll_in: \xe2\x80\x9cI think it is a clear indication that there is no further slide and we can start reversing the tide.\xe2\x80\x9d\n\n#HaryanaAssemblyPoll\xe2\x80\xa6',1,None,563,223
