created,text,retwc,hashtag,followers,friends
11/12/2019 18:17,b'\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f can we know the figure please...also \xf0\x9f\x96\x95to people who called it flop..#theskyispink #PriyankaChopra https://t.co/J6ra0OAOai',8,theskyispink,370,60
11/12/2019 18:07,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,19,20
11/12/2019 18:05,"b'RT @jayantadas100: @priyankachopra @TeamPriyanka #TheSkyIsPink 4th week updated. Yes, this @priyankachopra  movie is still running at Inox\xe2\x80\xa6'",7,TheSkyIsPink,370,60
11/12/2019 18:05,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,370,60
11/12/2019 17:43,"b'RT @jayantadas100: @priyankachopra @TeamPriyanka #TheSkyIsPink 4th week updated. Yes, this @priyankachopra  movie is still running at Inox\xe2\x80\xa6'",7,TheSkyIsPink,29,18
11/12/2019 17:42,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,29,18
11/12/2019 17:22,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,23,139
11/12/2019 17:05,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,79,200
11/12/2019 16:55,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,221,411
11/12/2019 16:45,"b'RT @jayantadas100: @priyankachopra @TeamPriyanka #TheSkyIsPink 4th week updated. Yes, this @priyankachopra  movie is still running at Inox\xe2\x80\xa6'",7,TheSkyIsPink,169,200
11/12/2019 16:43,"b'RT @jayantadas100: @priyankachopra @TeamPriyanka #TheSkyIsPink 4th week updated. Yes, this @priyankachopra  movie is still running at Inox\xe2\x80\xa6'",7,TheSkyIsPink,862,237
11/12/2019 16:29,"b'RT @jayantadas100: @priyankachopra @TeamPriyanka #TheSkyIsPink 4th week updated. Yes, this @priyankachopra  movie is still running at Inox\xe2\x80\xa6'",7,TheSkyIsPink,8164,108
11/12/2019 16:27,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,862,237
11/12/2019 16:26,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,169,200
11/12/2019 16:23,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,89,57
