created,text,retwc,hashtag,followers,friends
11/6/2019 10:01,"b""@DCI_Kenya @ian_ochii Please don't destroy unga and lie to us it's cocaine.\nWe are smart why don't you destroy them\xe2\x80\xa6 https://t.co/Fdqj04TNpw""",0,None,2053,4699
11/6/2019 10:01,"b'RT @KashmiriNetwork: In the first ever Historical hearing of Human Rights abuse in Kashmir at the US House of Representatives, the witness\xe2\x80\xa6'",156,None,1,25
11/6/2019 9:59,b'RT @franjoe51: @NLatUN @unGa @SwedenUN @USUN @GermanyUN @UKUN_NewYork @RussiaUN @ItalyUN_NY @washingtonpost @cnni @BBCWorld @RFI @IntlCrimC\xe2\x80\xa6',9,None,200,113
11/6/2019 9:54,b'RT @Jk42154007: Let me try another one....\xf0\x9f\xa4\x93\xf0\x9f\x92\x9c\xf0\x9f\x99\x88\xf0\x9f\x98\x84\n\n #NameThatBTS @BTS_twt @UN #UNGA #UN https://t.co/msLHWlmIss',1,NameThatBTS,122,399
11/6/2019 9:51,b'RT @Taheri_Movement: #UN expert calls on States at #UNGA to accept they have obligations &amp; responsibilities to make reparations to victims\xe2\x80\xa6',66,UN,617,697
11/6/2019 9:50,b'Let me try another one....\xf0\x9f\xa4\x93\xf0\x9f\x92\x9c\xf0\x9f\x99\x88\xf0\x9f\x98\x84\n\n #NameThatBTS @BTS_twt @UN #UNGA #UN https://t.co/msLHWlmIss',1,NameThatBTS,4,331
11/6/2019 9:50,b'RT @RobertAlai: @DCI_Kenya Test and measure. Maybe you are destroying unga ngano.',5,None,4591,2857
11/6/2019 9:49,"b'@hinduinquisitor @shafqatwatali @PrinceArihan Those are pretty big challenges, for one. Secondly, if you hear the r\xe2\x80\xa6 https://t.co/u6FgMBAgsC'",0,None,1083,661
11/6/2019 9:49,"b'@Meneer_Mann @IRR_SouthAfrica @Lesufi @Lesufi unga ba thathi kancane laba, the last time @Meneer_Mann and his\xe2\x80\xa6 https://t.co/qWjwJxUn7I'",0,None,5336,1848
11/6/2019 9:48,"b'#Iran #news in brief, Nov 5, 2019 https://t.co/Ugsd0ib1Nb via @YouTube #1988Massacre #CrimesAgainstHumanity\xe2\x80\xa6 https://t.co/q9eyZg1GaG'",0,Iran,1738,2540
11/6/2019 9:48,b'RT @Khokhar127: #ISupportMyPMImranKhan Organizers of the Anarchy March tag PM Khan as an agent of Yahoodi. But the nation have seen how Imr\xe2\x80\xa6',9,ISupportMyPMImranKhan,2533,531
11/6/2019 9:47,b'RT @ronniechirchir: Unga Limited Eldoret is offering internship to all cadres. Kindly if interested contact their service number +254-53203\xe2\x80\xa6',36,None,2166,602
11/6/2019 9:43,b'RT @RobertAlai: @DCI_Kenya Test and measure. Maybe you are destroying unga ngano.',5,None,268,958
11/6/2019 9:37,b'RT @epwing_official: PM Imran Khan has reached New York on official visit #UNGA',8,UNGA,63,30
11/6/2019 9:37,b'RT @epwing_official: PM Imran Khan will highlight Jammu and Kashmir issue in meeting with world leader on sidelines of #UNGA',15,UNGA,63,30
11/6/2019 9:37,b'RT @epwing_official: PM Imran Khan has arrived in New York for #UNGA session https://t.co/QTuCvaUny7',10,UNGA,63,30
11/6/2019 9:37,b'RT @epwing_official: PM Imran Khan in a meeting with Founder of Kashmir Study Group in USA.#UNGA #PMIKatUNGA #PMIKinUS https://t.co/TKaNYsH\xe2\x80\xa6',10,UNGA,63,30
11/6/2019 9:37,b'RT @epwing_official: PM Imran Khan in a meeting with Founder of Kashmir Study Group in USA.#UNGA #PMIKatUNGA #PMIKinUS https://t.co/EhQwPHq\xe2\x80\xa6',18,UNGA,63,30
11/6/2019 9:36,"b""RT @epwing_official: Prime Minister Imran Khan's speaking engagements at leading think-tanks and meetings with heads of major international\xe2\x80\xa6""",10,None,63,30
11/6/2019 9:36,"b'RT @epwing_official: Foreign Minister Shah Mahmood Qureshi will also attend and address important Ministerial meetings, especially the OIC\xe2\x80\xa6'",9,None,63,30
11/6/2019 9:36,b'RT @epwing_official: PM Imran Khan to emphasize centrality of the Jammu and Kashmir dispute through myriad engagements.\n#UNGA #PMIKatUNGA #\xe2\x80\xa6',9,UNGA,63,30
11/6/2019 9:36,b'RT @epwing_official: PM Imran Khan will interact with cross-section of international media outlets including meetings with editorial boards\xe2\x80\xa6',6,None,63,30
11/6/2019 9:36,"b'RT @epwing_official: A trilateral summit meeting of Pakistan, Malaysia and Turkey will be held on the General Assembly sidelines..#UNGA #PM\xe2\x80\xa6'",7,UNGA,63,30
11/6/2019 9:36,b'RT @epwing_official: PM Imran Khan will hold several bilateral meetings with his counterparts from various regions and participate in high-\xe2\x80\xa6',7,None,63,30
